"make","price","mileage","year","location","doors","color","model"
"Haval",80000,"0 ",2023,"Al Shamkha, Abu Dhabi",4,"Silver","H6"
"Toyota",125000,"0 ",2021,"Al Shawamekh, Abu Dhabi",2,"Silver","Land Cruiser 76 series"
"Land Rover",379000,"41000 ",2022,"Al Shawamekh, Abu Dhabi",4,"Black","Defender"
"Nissan",235000,"82775 ",2019,"Mussafah, Abu Dhabi",5,"White","Patrol"
"Nissan",240000,"112647 ",2019,"Mussafah, Abu Dhabi",5,"Silver","Patrol"
"Nissan",335000,"47599 ",2021,"Mussafah, Abu Dhabi",5,"Grey","Patrol"
"Toyota",219000,"57551 ",2021,"Mussafah, Abu Dhabi",5,"White","Land Cruiser"
"Infiniti",259000,"31573 ",2021,"Mussafah, Abu Dhabi",5,"White","QX80"
"Nissan",272000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Volkswagen",155000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","ID.6"
"Alfa Romeo",129900,"43506 ",2020,"Yas Island, Abu Dhabi",4,"Red","Giulia"
"Alfa Romeo",119900,"29500 ",2019,"Yas Island, Abu Dhabi",4,"White","Giulia"
"Alfa Romeo",119900,"24868 ",2019,"Yas Island, Abu Dhabi",4,"Black","Giulia"
"Alfa Romeo",119900,"25026 ",2019,"Yas Island, Abu Dhabi",4,"Grey","Giulia"
"Tesla",299000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Black","Model Y"
"Volkswagen",56000,"120000 ",2015,"Al Bateen, Abu Dhabi",4,"Red","Golf"
"Porsche",68000,"195000 ",2013,"Al Hosn, Abu Dhabi",4,"Gold","Cayenne"
"Audi",379000,"52312 ",2020,"Mussafah, Abu Dhabi",4,"Black","S8"
"Audi",329000,"60000 ",2020,"Mussafah, Abu Dhabi",4,"Black","Q8"
"Nissan",218000,"45000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Gold","Patrol"
"Mercedes-Benz",183000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","A200"
"Land Rover",195000,"90000 ",2017,"Al Shawamekh, Abu Dhabi",4,"White","Range Rover"
"BMW",264000,"63000 ",2019,"Al Shawamekh, Abu Dhabi",4,"Grey","5-Series"
"Nissan",98000,"8000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Silver","Altima"
"Land Rover",388000,"95000 ",2020,"Al Shawamekh, Abu Dhabi",4,"Grey","Range Rover Sport"
"BMW",535000,"36000 ",2021,"Al Shawamekh, Abu Dhabi",4,"Black","X6"
"Infiniti",115000,"48185 ",2019,"Mussafah, Abu Dhabi",5,"Black","Q70"
"Toyota",120000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"White","Camry"
"Nissan",222000,"0 ",2022,"Al Shawamekh, Abu Dhabi",4,"White","Patrol"
"Porsche",649000,"28518 ",2020,"Mussafah, Abu Dhabi",2,"Orange","Carrera / 911"
"Porsche",649000,"20301 ",2018,"Mussafah, Abu Dhabi",2,"White","Carrera / 911"
"Porsche",289000,"93794 ",2018,"Mussafah, Abu Dhabi",4,"Silver","Panamera"
"Porsche",569000,"34828 ",2020,"Mussafah, Abu Dhabi",4,"White","Taycan"
"Porsche",299000,"30944 ",2020,"Mussafah, Abu Dhabi",2,"Yellow","Boxster"
"Porsche",519000,"46150 ",2020,"Mussafah, Abu Dhabi",4,"White","Cayenne"
"Mercedes-Benz",777000,"25000 ",2020,"Al Shawamekh, Abu Dhabi",4,"White","G-Class"
"Mercedes-Benz",292000,"0 ",2023,"Al Shawamekh, Abu Dhabi",4,"Black","C-Class"
"Chevrolet",45000,"140000 ",2018,"Al Nahyan, Abu Dhabi",5,"White","Trax"
"BMW",50000,"70000 ",2018,"Zayed City (Khalifa City C), Abu Dhabi",4,"White","1-Series"
"Mercedes-Benz",205000,"86922 ",2017,"Between Two Bridges (Bain Al Jessrain), Abu Dhabi",4,"White","GLE-Class"
"Audi",245000,"130000 ",2020,"Abu Dhabi Airport Freezone (ADAFZ), Abu Dhabi",4,"Grey","Q8"
"Lexus",44000,"160000 ",2015,"Shakhbout City (Khalifa City B), Abu Dhabi",4,"Black","IS-Series"
"Ford",38000,"132500 ",2014,"Rabdan, Abu Dhabi",4,"White","Explorer"
"Infiniti",78000,"86000 ",2015,"Abu Dhabi",5,"White","QX70"
"Cadillac",129000,"120000 ",2016,"Al Shawamekh, Abu Dhabi",4,"Brown","Escalade"
